stop_id,stop_name,stop_lat,stop_lon
"825GA00345","Tallaght ","53.2874029572559","-6.37460271962691"
"825GA00347","Belgard ","53.2992453188537","-6.37497819204135"
"825GA00348","Belgard ","53.2992914617308","-6.37506645933542"
"825GA00350","Kingswood ","53.3036450480884","-6.36544815713673"
"825GA00351","Kingswood ","53.3036907869071","-6.36550642913277"
"825GA00353","Red Cow ","53.3167459644448","-6.36978055275248"
"825GA00354","Red Cow ","53.3167288179034","-6.36984124363596"
"825GA00356","Kylemore ","53.3265889562716","-6.34376337103717"
"825GA00357","Kylemore ","53.3266344972522","-6.34380664554678"
"825GA00360","Bluebell ","53.3292817872831","-6.33382500275916"
"825GA00361","Bluebell ","53.3293185582209","-6.33388362503054"
"825GA00363","Blackhorse ","53.3342630170598","-6.32753451321294"
"825GA00364","Blackhorse ","53.334299370295","-6.32756312200434"
"825GA00366","Drimnagh ","53.3353461945075","-6.31827231820978"
"825GA00367","Drimnagh ","53.3353913214121","-6.31828555865667"
"825GA00369","Goldenbridge ","53.335914285121","-6.31330963762211"
"825GA00370","Goldenbridge ","53.3359596247164","-6.31333788082316"
"825GA00372","Suir Road ","53.3365921771526","-6.30723125795765"
"825GA00373","Suir Road ","53.3366375181349","-6.30725949511103"
"825GA00375","Rialto ","53.3378991889509","-6.29738845667397"
"825GA00376","Rialto ","53.3379445321773","-6.29741668416631"
"825GA00378","Fatima ","53.338417448678","-6.29277257068148"
"825GA00379","Fatima ","53.3384625781829","-6.29278578501988"
"825GA00381","James's ","53.3418126087839","-6.29323766222323"
"825GA00382","James's ","53.3417777506224","-6.29331414603487"
"825GA00386","Heuston ","53.3466812805465","-6.29178148979066"
"825GA00387","Heuston ","53.346682355141","-6.29185654699596"
"825GA00389","Museum ","53.3478792135209","-6.2869420647211"
"825GA00390","Museum ","53.3479153606727","-6.28695563578207"
"825GA00392","Fettercairn ","53.2933175201804","-6.39587472807756"
"825GA00393","Fettercairn ","53.2933722278268","-6.39593268245187"
"825GA00395","Cheeverstown ","53.2910061402436","-6.4064915096011"
"825GA00396","Cheeverstown ","53.2910516589505","-6.40653481614152"
"825GA00398","Smithfield Luas  Stop 1","53.3471135023683","-6.27808080493658"
"825GA00399","Smithfield Luas  Stop 2","53.3471496504704","-6.27809436824868"
"825GA00401","Four Courts ","53.3468518865013","-6.27366041080432"
"825GA00402","Four Courts ","53.3468876006695","-6.27364394754559"
"825GA00404","Jervis ","53.3476830068047","-6.26527546402985"
"825GA00405","Jervis ","53.3477099552112","-6.2652743697936"
"825GA00408","Abbey Street ","53.3485637203993","-6.2584803582757"
"825GA00409","Abbey Street ","53.3485908878216","-6.25849427156772"
"825GA00412","Citywest Campus ","53.2884117036997","-6.41752257189865"
"825GA00413","Citywest Campus ","53.2884578153378","-6.41761086359536"
"825GA00415","Fortunestown ","53.2842559530261","-6.42474013039955"
"825GA00416","Fortunestown ","53.2843100527939","-6.42475313819878"
"825GA00418","Saggart ","53.2847775062216","-6.43773921457577"
"825GA00419","Saggart ","53.2848228174167","-6.43776755755448"
"825GA00420","Busáras ","53.3501166497177","-6.25158234663218"
"825GA00421","Busáras ","53.3501519206725","-6.25153583898207"
"825GA00423","Connolly ","53.3509834907561","-6.25001465932888"
"825GA00424","Connolly ","53.3510029974836","-6.25011901173232"
"825GA00427","George's Dock ","53.3494286142281","-6.24756983199852"
"825GA00428","George's Dock ","53.3494735278029","-6.24756798954513"
"825GA00430","Mayor Square - NCI ","53.3491676359234","-6.24326950689034"
"825GA00431","Mayor Square - NCI ","53.3492035667022","-6.24326802932619"
"825GA00433","Spencer Dock ","53.3487804260116","-6.23712686504906"
"825GA00434","Spencer Dock ","53.3488253393399","-6.2371250116634"
"825GA00436","The Point ","53.3482763518136","-6.22918667965209"
"825GA00437","The Point ","53.3483482128374","-6.22918370093491"
"825GA00440","Harcourt ","53.3336246192981","-6.26273785213714"
